ACCEPT	Akceptovat
ATTACH_METIN_INFO	Pøejete si pouít kámen ducha?
ATTACH_METIN_TITLE	Pouít kámen ducha
CANCEL	Zrušit
CHANGE_PASSWORD_CONFIRM	Potvrdit nové heslo
CHANGE_PASSWORD_NEW	Nové heslo
CHANGE_PASSWORD_OLD	Staré heslo
CHANGE_PASSWORD_TITLE	Zmìna hesla
CHARACTER_ACTION	Akce
CHARACTER_EMOTICON	Emoce
CHARACTER_MAIN	Postava
CHARACTER_MUTUAL_ACTION	Interaktivní akce
CHARACTER_NORMAL_ACTION	Normální akce
CHARACTER_QUEST	Úkol
CHARACTER_SKILL	Schopnosti
CLOSE	Zavøít
COMB_APPEARANCE	Kostım 1
COMB_ATTRIBUTE	Kostım 2
COMB_SKILLBOOK_TILE	Obchodovat s knihami
COMB_TITLE	
COSTUME_TITLE	Kostımy
COSTUME_WINDOW_TITLE	Kostımy
CREATE_ATT_GRADE	SIL
CREATE_CREATE	Vytvoøit
CREATE_DEX_GRADE	POH
CREATE_HP	VIT
CREATE_LAST_POINT	Body
CREATE_MAN	Mu
CREATE_NAME	Jméno
CREATE_NEXT	Dále
CREATE_PREV	Zpìt
CREATE_SEX	Pohlaví
CREATE_SHAPE	Vzhled
CREATE_SP	INT
CREATE_STAT_RESET	Zpìt
CREATE_WOMAN	ena
CUBE_INFO_TITLE	Pøíruèka zušlechování
CUBE_REQUIRE_MATERIAL	Poadované materiály
CUBE_REQUIRE_MATERIAL_OR	nebo
CUBE_TITLE	Okno zušlechování
DO_REFINE	Zušlechtit
DRAGONSOUL_ACTIVATE	Aktivovat
DRAGONSOUL_PAGE_BUTTON_1	Surovı
DRAGONSOUL_PAGE_BUTTON_2	Broušenı
DRAGONSOUL_PAGE_BUTTON_3	Vzácnı
DRAGONSOUL_PAGE_BUTTON_4	Starovìkı
DRAGONSOUL_PAGE_BUTTON_5	Legendární
DRAGONSOUL_REFINE_WINDOW_TITLE	Okno zušlechování
DRAGONSOUL_TAP_TITLE_1	Draèí diamant
DRAGONSOUL_TAP_TITLE_2	Draèí rubín
DRAGONSOUL_TAP_TITLE_3	Draèí nefrit
DRAGONSOUL_TAP_TITLE_4	Draèí safír
DRAGONSOUL_TAP_TITLE_5	Draèí granát
DRAGONSOUL_TAP_TITLE_6	Draèí onyx
DRAGONSOUL_TITLE	Alchymie Draèích kamenù
EMPIRE_EXIT	Ukonèit
EMPIRE_NEXT	Dále
EMPIRE_PREV	Zpìt
EMPIRE_SELECT	Zvolit
EXCHANGE_ACCEPT	Pøevzít
EXCHANGE_TITLE	Obchodování
GAMEOPTION_TITLE	Nastavení hry
GAME_EXIT_OBSERVER	Ukonèit diváckı modus
GAME_HELP	Nápovìda
GAME_QUEST	Úkoly
GAME_SKILL_UP	Zvıšit schopnost
GAME_STAT_UP	Zvıšit status
GRADE	Stupeò
GRADE_SELECT	Stupeò
GUILD_BASENAME	Základní jméno
GUILD_BOARD_ID	Jméno
GUILD_BOARD_REFRESH	Aktualizovat (F5)
GUILD_BOARD_TEXT	Zpráva
GUILD_BUILDING_CATEGORY_TITLE	Stavební jednotky
GUILD_BUILDING_CHANGE	Zmìnit
GUILD_BUILDING_DIRECTION	Orientace
GUILD_BUILDING_GRADE	Hodnost
GUILD_BUILDING_INFO	Informace o budovì a nákladech
GUILD_BUILDING_LIST_TITLE	Seznam budov
GUILD_BUILDING_LOG	Kmen
GUILD_BUILDING_NAME	Název budovy
GUILD_BUILDING_OPERATE	Obsluhovat
GUILD_BUILDING_PLY	Pøeklika
GUILD_BUILDING_POSITION	Poloha
GUILD_BUILDING_PREVIEW	Náhled
GUILD_BUILDING_PRICE	Cena
GUILD_BUILDING_REFRESH	Aktualizovat (F5)
GUILD_BUILDING_STONE	Kámen
GUILD_BUILDING_TITLE	Stavba domu cechu
GUILD_CRYSTAL	Køišál
GUILD_DEPOSIT	Zaplatit
GUILD_DROP_RESOURCE1	zde
GUILD_DROP_RESOURCE2	Nechat spadnout zdroj
GUILD_GEM	Drahokam
GUILD_GRADE_CHANGE_GRADE_NAME	Nové jméno hodnosti
GUILD_GRADE_NUM	Èíslo
GUILD_GRADE_PERMISSION_DELETE	Propustit
GUILD_GRADE_PERMISSION_JOIN	Pozvat
GUILD_GRADE_PERMISSION_NOTICE	Napsat
GUILD_GRADE_PERMISSION_SKILL	Schopnosti
GUILD_GRADE_RANK	Hodnost
GUILD_GRADE_WRITE	Psát
GUILD_INFO	Informace o cechu
GUILD_INFO_CUR_EXP	Zkušenost
GUILD_INFO_DECALRE_WAR	Vyhlásit válku
GUILD_INFO_ENEMY_GUILD	Nepøátelskı cech
GUILD_INFO_ENEMY_GUILD_EMPTY	ádná
GUILD_INFO_LEVEL	Cechovní úroveò
GUILD_INFO_MARK	Logo cechu
GUILD_INFO_MASTER	Vedoucí
GUILD_INFO_MASTER_VALUE	Vedoucí
GUILD_INFO_MEMBER_AVG_LEVEL	Prùm. úroveò
GUILD_INFO_MEMBER_NUM	Poèet èlenù
GUILD_INFO_NAME	Název cechu
GUILD_INFO_NAME_VALUE	Toto je název cechu
GUILD_INFO_OFFER_EXP	Invest.
GUILD_INFO_REST_EXP	Potøebná zkušenost
GUILD_INFO_UPLOAD_MARK	Uploadovat logo
GUILD_INFO_UPLOAD_SYMBOL	Uploadovat logo
GUILD_MARK	Logo cechu
GUILD_MEMBER_JOB	Rasa
GUILD_MEMBER_KNIGHT	Vedoucí
GUILD_MEMBER_LEVEL	Úroveò
GUILD_MEMBER_NAME	Jméno
GUILD_MEMBER_RANK	Hodnost
GUILD_MEMBER_SPECIFIC_GRAVITY	Invest.
GUILD_METIN_STONE	Kámen metin
GUILD_MINENAL	Minerál
GUILD_MONEY	Yang
GUILD_NAME	Cech
GUILD_RESOURCE_INFO	Informace o zdrojích
GUILD_SKILL_ACTIVE	Aktivní
GUILD_SKIlL_HEAL_GSP	Nabít
GUILD_SKILL_PASSIVE	Pasivní
GUILD_SKILL_POWER	Energie
GUILD_SKILL_STATE	Schopnosti cechu
GUILD_SYMBOL	Prapor cechu
GUILD_WAR_ACCEPT	Akceptovat vyhlášení války
GUILD_WAR_BATTLE_TYPE	Druh boje
GUILD_WAR_CTF	Vlajka
GUILD_WAR_DECLARE	Vyhlásit válku cechù
GUILD_WAR_ENEMY	Protivník
GUILD_WAR_NORMAL	Pole
GUILD_WAR_WARP	Arena
GUILD_WATER	Voda
GUILD_WATER_STONE	Vodní kámen
GUILD_WITHDRAW	Vzít
HELP_ATTACK_KEY	Útok: stiskni mezerník nebo levé tlaèítko myši
HELP_CHANGE_PK_MODE	Zmìnit útoènı mód: zmìòte nastavení levého tlaèítka myši
HELP_CHARACTER_BUTTON1	(Okno postavy, Inventáø,
HELP_CHARACTER_BUTTON2	Seznam pøátel a Monosti)
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Pohled kamery: lze nastavit støedním nebo pravım tlaèítkem myši
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Pohled kamery: lze nastavit pravım nebo støedním tlaèítkem myši
HELP_EXP	Zkušenost
HELP_FURY	Item Shop ve høe
HELP_GUILD_WINDOW	Otevøít okno cechu: stistknutím kláves Alt + G
HELP_HELP	Zobrazit nápovìdu: stisknutím klávesy H
HELP_HP	Zdravotní Body (ZB)
HELP_MESSENGER_WINDOW	Otevøít Seznam pøátel: pomocí kláves Alt + M
HELP_MOUSE_LEFT	Funkce levého tlaèítka myši
HELP_MOUSE_RIGHT	Funkce pravého tlaèítka myši
HELP_MOVE_KEY	Pohyb: k pohybu pouij klávesy W, S, A, D nebo šipky
HELP_OPEN_CHARACTER	Otevøít okno postavy: pomocí klávesy C
HELP_OPEN_CHAT	Otevøít okno chatu: pomocí klávesy Enter
HELP_OPEN_INVENTORY	Otevøít Inventáø: pomocí klávesy I
HELP_OPEN_LOG	Otevøít log chatu: pomocí klávesy L
HELP_OPEN_MINIMAP	Otevøít Minimapu: pomocí kláves Shift + M
HELP_OPEN_QUEST	Otevøít okno s úkoly: pomocí klávesy N
HELP_OPEN_SKILL	Otevøít okno schopnosti: pomocí klávesy V
HELP_OPEN_WHISPER	Otevøít Šepot: pomocí kláves Shift + Enter
HELP_OPEN_ZONEMAP	Otevøí velkou mapu: pomocí klávesy M
HELP_PICK_ITEM	Zvedat pøedmìty: pomocí kláves ^ nebo Y nebo levım tlaèítkem myši
HELP_QUICKSLOT	Pole rychlého pøístupu
HELP_SCREEN_CAPTURE	Uloit Snímek obrazovky: pomocí klávesy Print (bude uloen v souboru "Metin2\screenshot")
HELP_SHOW_ALL_NAME	Zobrazit Jména: pomocí klávesy Alt
HELP_SP	Magické Body (MB)
HELP_SYSTEM_BUTTON	Systémové klávesy
INVENTORY_PAGE_BUTTON_TOOLTIP_1	1. Inventáø
INVENTORY_PAGE_BUTTON_TOOLTIP_2	2. Inventáø
INVENTORY_TITLE	Inventáø
ITEM_MALL	Item Shop
LOAD_ERROR	Soubor je poškozen. Prosím nainstaluj Client znovu. Teï stiskni klávesu ESC.
LOGIN_CONNECT	Pøipojit
LOGIN_CONNECTING	Budeš spojen se serverem.
LOGIN_DEFAULT_SERVERADDR	Název serveru, kanál 1
LOGIN_EXIT	Ukonèit
LOGIN_REGION_TITLE	Zvolit místo na vystavení úètenky
LOGIN_SELECT_BUTTON	Zvolit
LOGIN_SELECT_EXIT	Ukonèit
LOGIN_SELECT_OK	OK
LOGIN_SELECT_TITLE	Zvolit server
MALL_PASSWORD_TITLE	Heslo
MALL_TITLE	Sklad Item Shop
MARKET_TITLE	Nahrát
MARKLIST_REFRESH	Aktualizovat
MARKLIST_TITLE	Zaregistrovat logo cechu
MESSAGE	Toto je zpráva
MESSENGER_ADD_FRIEND	Pøidat pøátele
