ACCEPT	Bestätigen
ATTACH_METIN_INFO	Willst du den Geiststein einsetzen?
ATTACH_METIN_TITLE	Geiststein einsetzen
CANCEL	Abbruch
CHANGE_PASSWORD_CONFIRM	Neues Passwort bestätigen
CHANGE_PASSWORD_NEW	Neues Passwort
CHANGE_PASSWORD_OLD	Altes Passwort
CHANGE_PASSWORD_TITLE	Passwortänderung
CHARACTER_ACTION	Aktionen
CHARACTER_EMOTICON	Emotion
CHARACTER_MAIN	Charakter
CHARACTER_MUTUAL_ACTION	Interaktive Aktionen
CHARACTER_NORMAL_ACTION	Normale Aktionen
CHARACTER_QUEST	Missionen
CHARACTER_SKILL	Fertigkeiten
CLOSE	Schließen
COSTUME_TITLE	Kostüme
COSTUME_WINDOW_TITLE	Kostüme
CREATE_ATT_GRADE	STR
CREATE_CREATE	Erstellen
CREATE_DEX_GRADE	DEX
CREATE_HP	VIT
CREATE_LAST_POINT	Punkte
CREATE_MAN	Mann
CREATE_NAME	Name
CREATE_NEXT	Weiter
CREATE_PREV	Zurück
CREATE_SEX	Geschlecht
CREATE_SHAPE	Aussehen
CREATE_SP	INT
CREATE_STAT_RESET	Zurück
CREATE_WOMAN	Frau
CUBE_INFO_TITLE	Veredelungshandbuch
CUBE_REQUIRE_MATERIAL	Erforderliche Materialien
CUBE_REQUIRE_MATERIAL_OR	oder
CUBE_TITLE	Veredelungsfenster
DO_REFINE	Veredeln
DRAGONSOUL_ACTIVATE	Aktivieren
DRAGONSOUL_PAGE_BUTTON_1	Roh
DRAGONSOUL_PAGE_BUTTON_2	Schliff
DRAGONSOUL_PAGE_BUTTON_3	Rar
DRAGONSOUL_PAGE_BUTTON_4	Antik
DRAGONSOUL_PAGE_BUTTON_5	Legendär
DRAGONSOUL_REFINE_WINDOW_TITLE	Veredelungsfenster
DRAGONSOUL_TAP_TITLE_1	Drachendiamant
DRAGONSOUL_TAP_TITLE_2	Drachenrubin
DRAGONSOUL_TAP_TITLE_3	Drachenjade
DRAGONSOUL_TAP_TITLE_4	Drachensaphir
DRAGONSOUL_TAP_TITLE_5	Drachengranat
DRAGONSOUL_TAP_TITLE_6	Drachenonyx
DRAGONSOUL_TITLE	Drachensteinalchemie
EMPIRE_EXIT	Beenden
EMPIRE_NEXT	Weiter
EMPIRE_PREV	Zurück
EMPIRE_SELECT	Wählen
EXCHANGE_ACCEPT	Annehmen
EXCHANGE_TITLE	Handeln
GAMEOPTION_TITLE	Spieloptionen
GAME_EXIT_OBSERVER	Zuschauermodus beenden
GAME_HELP	Hilfe
GAME_QUEST	Aufgaben
GAME_SKILL_UP	Fertigkeit erhöhen
GAME_STAT_UP	Status erhöhen
GRADE	Klasse
GRADE_SELECT	Klasse
GUILD_BASENAME	Basisname
GUILD_BOARD_ID	Name
GUILD_BOARD_REFRESH	Aktualisieren (F5)
GUILD_BOARD_TEXT	Nachricht
GUILD_BUILDING_CATEGORY_TITLE	Baueinheiten
GUILD_BUILDING_CHANGE	Wechseln
GUILD_BUILDING_DIRECTION	Ausrichtung
GUILD_BUILDING_GRADE	Rang
GUILD_BUILDING_INFO	Gebäude- und Kosteninformationen
GUILD_BUILDING_LIST_TITLE	Gebäudeliste
GUILD_BUILDING_LOG	Stamm
GUILD_BUILDING_NAME	Gebäudename
GUILD_BUILDING_OPERATE	Bedienen
GUILD_BUILDING_PLY	Sperrholz
GUILD_BUILDING_POSITION	Lage
GUILD_BUILDING_PREVIEW	Vorschau
GUILD_BUILDING_PRICE	Preis
GUILD_BUILDING_REFRESH	Aktualisieren (F5)
GUILD_BUILDING_STONE	Fu.stein
GUILD_BUILDING_TITLE	Gildenhausbau
GUILD_CRYSTAL	Kristall
