AFF_LOVE_POINT	Kærlighedspoint: %d%%
ALIGNMENT_NAME	Rang:
ATTACK_ERROR_UNKNOWN	Ukendt angrebsfejl: %s
CANNOT_ATTACK_DEST_IN_SAFE	Afstanden til fjenden er for stor.
CANNOT_ATTACK_SELF_IN_SAFE	Jeg kan ikke angribe fjenden herfra.
CANNOT_EQUIP_IN_EXCHANGE	Du kan ikke skifte din udrustning mens du handler.
CANNOT_EQUIP_IN_SHOP	Du kan ikke skifte din udrustning mens du handler.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Du kan ikke åbne en privat butik på et offentligt areal.
CANNOT_SHOOT_DEST_IN_SAFE	Afstanden til fjenden er for stor.
CANNOT_SHOOT_EMPTY_ARROW	Jeg har brug for en pil.
CANNOT_SHOOT_SELF_IN_SAFE	Jeg kan ikke angribe fjenden herfra.
CANNOT_SKILL_APPROACH	Jeg er sikker på, at jeg ikke kan komme tættere på.
CANNOT_SKILL_ATTACK	Det kan jeg ikke angribe.
CANNOT_SKILL_BLUE	Du kan ikke bruge Indigo Ulve sjæl når højrød Ulve sjæl er aktiveret.
CANNOT_SKILL_DEST_IN_SAFE	Afstanden til fjenden er for stor.
CANNOT_SKILL_EQUIP_FISHING_ROD	Jeg har brug for en fiskestang.
CANNOT_SKILL_HAVE_TO_RIDE	Jeg har brug for en hest for at kunne anvende det.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Jeg har ingen tom flaske.
CANNOT_SKILL_NEED_POISON_BOTTLE	Jeg har ingen giftflaske.
CANNOT_SKILL_NEED_TARGET	Hvem er målet?
CANNOT_SKILL_NOT_ENOUGH_HP	Jeg har ikke nok HP!
CANNOT_SKILL_NOT_ENOUGH_SP	Jeg har ikke nok MP!
CANNOT_SKILL_NOT_HORSE_SKILL	Jeg kan ikke bruge det, mens jeg ridder.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Denne færdighed kan jeg ikke bruge med mit våben.
CANNOT_SKILL_NOT_YET_LEARN	Denne færdighed har jeg ikke lært.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Det virker kun på gruppemedlemmer.
CANNOT_SKILL_ONLY_FOR_CORPSE	Det virker kun på døde.
