ACCEPT	Acceptere
ATTACH_METIN_INFO	Vil du bruge Åndestenen?
ATTACH_METIN_TITLE	Brug Åndestenen
CANCEL	Afbryd
CHANGE_PASSWORD_CONFIRM	Bekræft nyt kodeord
CHANGE_PASSWORD_NEW	Nyt kodeord
CHANGE_PASSWORD_OLD	Gammelt kodeord
CHANGE_PASSWORD_TITLE	Skift kodeord
CHARACTER_ACTION	Aktioner
CHARACTER_EMOTICON	Emotioner
CHARACTER_MAIN	Karakter
CHARACTER_MUTUAL_ACTION	Interaktive aktioner
CHARACTER_NORMAL_ACTION	Normale aktioner
CHARACTER_QUEST	Missioner
CHARACTER_SKILL	Færdigheder
CLOSE	Luk
COMB_APPEARANCE	Kostume 1
COMB_ATTRIBUTE	Kostume 2
COMB_SKILLBOOK_TILE	Byt bøger
COMB_TITLE	
COSTUME_TITLE	Kostumer
COSTUME_WINDOW_TITLE	Kostumer
CREATE_ATT_GRADE	STR
CREATE_CREATE	Opret
CREATE_DEX_GRADE	DEX
CREATE_HP	VIT
CREATE_LAST_POINT	Points
CREATE_MAN	Mand
CREATE_NAME	Navn
CREATE_NEXT	Fortsæt
CREATE_PREV	Tilbage
CREATE_SEX	Køn
CREATE_SHAPE	Udseende
CREATE_SP	INT
CREATE_STAT_RESET	Tilbage
CREATE_WOMAN	Kvinde
CUBE_INFO_TITLE	Forfinelses håndbog
CUBE_REQUIRE_MATERIAL	Nødvendige materialer
CUBE_REQUIRE_MATERIAL_OR	eller
CUBE_TITLE	Krydderikiste
DO_REFINE	Forfin
DRAGONSOUL_ACTIVATE	Aktiver
DRAGONSOUL_PAGE_BUTTON_1	Uslebet
DRAGONSOUL_PAGE_BUTTON_2	Slebet
DRAGONSOUL_PAGE_BUTTON_3	Sjælden
DRAGONSOUL_PAGE_BUTTON_4	Antik
DRAGONSOUL_PAGE_BUTTON_5	Mystisk
DRAGONSOUL_REFINE_WINDOW_TITLE	Forfinelses vindue
DRAGONSOUL_TAP_TITLE_1	Drage diamant
DRAGONSOUL_TAP_TITLE_2	Drage rubin
DRAGONSOUL_TAP_TITLE_3	Drage jade
DRAGONSOUL_TAP_TITLE_4	Drage safir
DRAGONSOUL_TAP_TITLE_5	Drage granat
DRAGONSOUL_TAP_TITLE_6	Drage onyks
DRAGONSOUL_TITLE	Drage stens alkymist
EMPIRE_EXIT	Exit
EMPIRE_NEXT	Fortsæt
EMPIRE_PREV	Tilbage
EMPIRE_SELECT	Vælg
EXCHANGE_ACCEPT	Accepter
EXCHANGE_TITLE	Handle
GAMEOPTION_TITLE	Spilindstillinger
GAME_EXIT_OBSERVER	Afslut tilskuermode
GAME_HELP	Hjælp
GAME_QUEST	Opgaver
GAME_SKILL_UP	Opgrader færdigheder
GAME_STAT_UP	Opgrader status
GRADE	Klasse
GRADE_SELECT	Klasse
GUILD_BASENAME	Basisnavn
GUILD_BOARD_ID	Navn
GUILD_BOARD_REFRESH	Refresh (F5)
GUILD_BOARD_TEXT	Besked
GUILD_BUILDING_CATEGORY_TITLE	Bygnings enheder
GUILD_BUILDING_CHANGE	Skift
GUILD_BUILDING_DIRECTION	Retning
GUILD_BUILDING_GRADE	Rang
GUILD_BUILDING_INFO	Bygnings- og omkostningsinformationer
GUILD_BUILDING_LIST_TITLE	Bygningsliste
GUILD_BUILDING_LOG	Stamme
GUILD_BUILDING_NAME	Bygningsnavn
GUILD_BUILDING_OPERATE	Benyt
GUILD_BUILDING_PLY	Krydsfiner
GUILD_BUILDING_POSITION	Position
GUILD_BUILDING_PREVIEW	Preview
GUILD_BUILDING_PRICE	Pris
GUILD_BUILDING_REFRESH	Refresh (F5)
GUILD_BUILDING_STONE	Sten
GUILD_BUILDING_TITLE	Ordens-husplanlægning
GUILD_CRYSTAL	Krystal
GUILD_DEPOSIT	Betal
GUILD_DROP_RESOURCE1	her
GUILD_DROP_RESOURCE2	Drop ressource
GUILD_GEM	Ædelsten
GUILD_GRADE_CHANGE_GRADE_NAME	Nyt rangnavn
GUILD_GRADE_NUM	Nr.
GUILD_GRADE_PERMISSION_DELETE	Kick
GUILD_GRADE_PERMISSION_JOIN	Inviter
GUILD_GRADE_PERMISSION_NOTICE	Skriv
GUILD_GRADE_PERMISSION_SKILL	Færdigheder
GUILD_GRADE_RANK	Rang
GUILD_GRADE_WRITE	Skriv
GUILD_INFO	Ordensinformationer
GUILD_INFO_CUR_EXP	Erfaring
GUILD_INFO_DECALRE_WAR	Erklær krig
GUILD_INFO_ENEMY_GUILD	Fjendtlige Ordner
GUILD_INFO_ENEMY_GUILD_EMPTY	Ingen
GUILD_INFO_LEVEL	Ordenslevel
GUILD_INFO_MARK	Ordenssymbol
GUILD_INFO_MASTER	Leder
GUILD_INFO_MASTER_VALUE	Leder
GUILD_INFO_MEMBER_AVG_LEVEL	Gennemsnitlig level
GUILD_INFO_MEMBER_NUM	Antal medlemmer
GUILD_INFO_NAME	Ordensnavn
GUILD_INFO_NAME_VALUE	Det er et Ordensnavn
GUILD_INFO_OFFER_EXP	Investér
GUILD_INFO_REST_EXP	Nødvendig erfaring
GUILD_INFO_UPLOAD_MARK	Upload Ordenssymbol
GUILD_INFO_UPLOAD_SYMBOL	Upload flag
GUILD_MARK	Ordenssymbol
GUILD_MEMBER_JOB	Klasse
GUILD_MEMBER_KNIGHT	Leder
GUILD_MEMBER_LEVEL	Level
GUILD_MEMBER_NAME	Navn
GUILD_MEMBER_RANK	Rang
GUILD_MEMBER_SPECIFIC_GRAVITY	Invest.
GUILD_METIN_STONE	Metin-sten
GUILD_MINENAL	Mineral
GUILD_MONEY	Yang
GUILD_NAME	Orden
GUILD_RESOURCE_INFO	Ressourceinformationer
GUILD_SKILL_ACTIVE	Aktiv
GUILD_SKIlL_HEAL_GSP	Oplad
GUILD_SKILL_PASSIVE	Passiv
GUILD_SKILL_POWER	Energi
GUILD_SKILL_STATE	Ordens færdigheder
GUILD_SYMBOL	Ordensflag
GUILD_WAR_ACCEPT	Accepter Ordenskrigserklæring
GUILD_WAR_BATTLE_TYPE	Kampart
GUILD_WAR_CTF	Flag
GUILD_WAR_DECLARE	Erklær Ordenskrig
GUILD_WAR_ENEMY	Fjende
GUILD_WAR_NORMAL	Kamp egn
GUILD_WAR_WARP	Arena
GUILD_WATER	Vand
GUILD_WATER_STONE	Vand-sten
GUILD_WITHDRAW	Tag
HELP_ATTACK_KEY	Angrib: venstre muse-tast eller mellemrum
HELP_CHANGE_PK_MODE	Skift angrebs type: skift indstilling på venstre muse-tast
HELP_CHARACTER_BUTTON1	(Karakter-vindue, inventar-vindue,
HELP_CHARACTER_BUTTON2	venneliste og indstillinger)
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Kamera syn: mellem eller højre muse-tast
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Kamera syn: højre eller midterste muse-knap
HELP_EXP	Erfaring
HELP_FURY	Ingame Itemshop
HELP_GUILD_WINDOW	Åben Ordens-vinduet: Alt + G
HELP_HELP	Vis hjælp: H
HELP_HP	Livspoint (HP)
HELP_MESSENGER_WINDOW	Vis vennelisten: Alt + M
HELP_MOUSE_LEFT	Funktion af den venstre musetast
HELP_MOUSE_RIGHT	Funktion af den højre musetast
HELP_MOVE_KEY	Styring: W, A, S, D eller pile-tasterne
HELP_OPEN_CHARACTER	Åben karaktervinduet: C
HELP_OPEN_CHAT	Åben chat vinduet: Enter
HELP_OPEN_INVENTORY	Åben inventar vinduet: I
HELP_OPEN_LOG	Åben Chat-log: L
HELP_OPEN_MINIMAP	Åben mini-map: Shift + M
HELP_OPEN_QUEST	Åben opgave vinduet: N
HELP_OPEN_SKILL	Åben færdigheds vinduet: V
HELP_OPEN_WHISPER	Åben hviske vinduet: Shift + Enter
HELP_OPEN_ZONEMAP	Åben stort kort: M
HELP_PICK_ITEM	Sammel genstande: Z eller ´ eller venstre muse-tast
HELP_QUICKSLOT	Hurtigmenu
HELP_SCREEN_CAPTURE	Gem Screenshot: Prt Scr(bliver gemt i "Metin2_DK\screenshot")
HELP_SHOW_ALL_NAME	Vis navne: Alt
HELP_SP	Manapoint (MP)
HELP_SYSTEM_BUTTON	System knapper
INVENTORY_PAGE_BUTTON_TOOLTIP_1	1. inventar
INVENTORY_PAGE_BUTTON_TOOLTIP_2	2. inventar
INVENTORY_TITLE	Inventar
ITEM_MALL	Itemshop
LOAD_ERROR	En data-fil er i stykker. Vær så venligt at geninstallere clienten. Tryk ESC.
LOGIN_CONNECT	Connect
LOGIN_CONNECTING	Du bliver forbundet med serveren.
LOGIN_DEFAULT_SERVERADDR	Servernavn, kanal 1
LOGIN_EXIT	Afslut
LOGIN_REGION_TITLE	Vælg området for regningen
LOGIN_SELECT_BUTTON	Vælg
LOGIN_SELECT_EXIT	Afslut
LOGIN_SELECT_OK	OK
LOGIN_SELECT_TITLE	Vælg server
MALL_PASSWORD_TITLE	Kodeord
MALL_TITLE	Item-Shop Lager
MARKET_TITLE	Butik
MARKLIST_REFRESH	Aktualisér
MARKLIST_TITLE	Registrer Ordenssymbol
MESSAGE	Dette er en meddelelse
MESSENGER_ADD_FRIEND	Tilføj ven
MESSENGER_DELETE_FRIEND	Slet ven
MESSENGER_MOBILE	Send SMS
MESSENGER_OPEN_GUILD	Åben Ordensvinduet
MESSENGER_TITLE	Venner
MESSENGER_USE_GUILD_MOVE_SKILL	Brug Ordensbevægelses-færdigheder
MESSENGER_WHISPER	Hviske
MINIMIZE	Minimér
MOUSEBUTTON_ATTACK	Angrib
MOUSEBUTTON_AUTO_ATTACK	Angrib automatisk
MOUSEBUTTON_CAMERA	Kamera
MOUSEBUTTON_SKILL	Færdigheder
MUSICLIST_TITLE	Musikvalg
NO	Nej
OK	OK
OPTION_ALWAYS_SHOW_NAME	Navn
OPTION_ALWAYS_SHOW_NAME_OFF	begrænset
OPTION_ALWAYS_SHOW_NAME_ON	Altid
OPTION_BLOCK	Bloker
OPTION_BLOCK_EXCHANGE	Handel
OPTION_BLOCK_FRIEND	Venner
OPTION_BLOCK_GUILD	Orden
OPTION_BLOCK_PARTY	Gruppe
OPTION_BLOCK_PARTY_REQUEST	Ansøgning
OPTION_BLOCK_WHISPER	Hviske
OPTION_CAMERA_DISTANCE	Kamera
OPTION_CAMERA_DISTANCE_LONG	Fjern
OPTION_CAMERA_DISTANCE_SHORT	Nær
OPTION_DELETE_MOBILE_BUTTON	Slet mobilnr.
OPTION_EFFECT	Hit-info
OPTION_ENV_EFFECT	Omgivelser
OPTION_ENV_EFFECT_OFF	Off
OPTION_ENV_EFFECT_ON	On
OPTION_FOG	Tåge
OPTION_FOG_DENSE	Meget
OPTION_FOG_LIGHT	Lidt
