AFF_LOVE_POINT	Puntos de amor: %d%%
ALIGNMENT_NAME	Puntos de clasificación:
ATTACK_ERROR_UNKNOWN	Error desconocido de ataque: %s
CANNOT_ATTACK_DEST_IN_SAFE	El combatiente está demasiado lejos.
CANNOT_ATTACK_SELF_IN_SAFE	No puedo atacar.
CANNOT_EQUIP_IN_EXCHANGE	No puedes cambiar ningún equipamiento mientras comercias.
CANNOT_EQUIP_IN_SHOP	No puedes cambiar ningún equipamiento mientras comercias.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	No puedes abrir un almacén privado en un área pública.
CANNOT_SHOOT_DEST_IN_SAFE	El enemigo está demasiado lejos.
CANNOT_SHOOT_EMPTY_ARROW	Necesito una flecha.
CANNOT_SHOOT_SELF_IN_SAFE	No puedo hacer eso.
CANNOT_SKILL_APPROACH	Estoy seguro de que no puedo acercarme más.
CANNOT_SKILL_ATTACK	No puedo atacar.
CANNOT_SKILL_BLUE	Si el Alma lobuna escarlata se encuentra activa, no puedes utilizar el Alma lobuna índigo.
CANNOT_SKILL_DEST_IN_SAFE	El enemigo está demasiado lejos.
CANNOT_SKILL_EQUIP_FISHING_ROD	Necesito una caña.
CANNOT_SKILL_HAVE_TO_RIDE	Necesito un caballo antes de poder usar esto.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	No tengo una botella vacia.
CANNOT_SKILL_NEED_POISON_BOTTLE	No tengo una botella de veneno.
CANNOT_SKILL_NEED_TARGET	¿Quiénl es el objetivo?
CANNOT_SKILL_NOT_ENOUGH_HP	¡No tengo suficiente HP!
CANNOT_SKILL_NOT_ENOUGH_SP	¡No tengo suficiente SP!
CANNOT_SKILL_NOT_HORSE_SKILL	No puedo usar esto mientras cabalgo.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	No puedo usar esta habilidad con este arma.
CANNOT_SKILL_NOT_YET_LEARN	No he aprendido esta habilidad.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Esto sólo afecta a los miembros del grupo.
CANNOT_SKILL_ONLY_FOR_CORPSE	Esto sólo afecta a los muertos.
CANNOT_SKILL_RED	Si el Alma lobuna índigo se encuentra activa, no puedes utilizar el Alma lobuna escarlata.
CANNOT_SKILL_REMOVE_FISHING_ROD	No puedo usar esta habilidad con una caña.
CANNOT_SKILL_SELF_IN_SAFE	No puedo atacar desde aquí.
CANNOT_SKILL_USE_SELF	No puedo usar esto conmigo mismo.
CANNOT_SKILL_WAIT_COOLTIME	Aún no puedo usar esta habilidad.
CANNOT_USE	No se puede usar.
CANNOT_WHISPER_DEST_REFUSE	%s ha bloqueado el susurro.	SA
CANNOT_WHISPER_NOT_LOGON	%s no está conectado.	SA
CANNOT_WHISPER_SELF_REFUSE	No puedes susurrar algo a alguien si has bloqueado el susurro.	SNA
CHANNEL	Canal
CHANNELING_CANNOT_LOGOUT	No puedes regresar a la pantalla de registro.
CHANNEL_EMPTY_SERVER	No servidor
CHANNEL_NORMAL	Canal %d
CHANNEL_NOTIFY_FULL	¡Este canal está lleno! Por favor, selecciona otro.
CHANNEL_NOT_FIND_INFO	No se ha encontrado ninguna información a través de este canal.
CHANNEL_PVP	Duelo libre
CHANNEL_SELECT_CHANNEL	Elige el canal
CHANNEL_SELECT_REGION	Elegir la región.
CHANNEL_SELECT_SERVER	Elige servidor
CHANNEL_TEST_SERVER	Test de servidor
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Crear personaje
CHARACTER_SELECT_MODE	Seleccionar personaje
CHAT_ALL	Todo
CHAT_BLOCK	Bloquear
CHAT_GUILD	Gremio
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Esta frase contiene palabras inválidas.
CHAT_LOG	Mostrar mensajes antiguos [L]
CHAT_LOG_TITLE	Protocolo del chat
CHAT_NORMAL	Normal
CHAT_NOTICE	Anuncio
CHAT_PARTY	Grupo
CHAT_SEND_CHAT	Enviar chat
CHAT_SEND_MEMO	Enviar susurro[Shift+Enter]
CHAT_SHOUT	Llamar
CHAT_SHOUT_LIMIT	Sólo puedes llamar cada 15 segundos.
CHAT_WHISPER	Conversación
COMB_ALREADY_APPEND	
COMB_CANT_APPEND_ITEM	No se puede utilizar este objeto.
COMB_CANT_APPEND_SEALED_ITEM	No puedes usar objetos que se encuentren bajo el efecto de la Unión al alma.
COMB_COST	Precio: %s
COMB_IS_CONTINUE_PROCESS	¿Quieres continuar?
COMB_NOTICE	No puedes abrir una tienda privada mientras canjeas libros.
COMB_NOTICE_NOT_OPEN	No puedes canjear libros si has abierto una tienda privada.
