AFF_LOVE_POINT	Πόντοι αγάπης: %d%%
ALIGNMENT_NAME	Βαθμοί:
ATTACK_ERROR_UNKNOWN	’γνωστο Λάθος Επίθεσης: %s
CANNOT_ATTACK_DEST_IN_SAFE	Ο πολεμιστής είναι πολύ μακριά.
CANNOT_ATTACK_SELF_IN_SAFE	Δε μπορώ να επιτεθώ.
CANNOT_EQUIP_IN_EXCHANGE	Δε μπορείς να αλλάξεις πανοπλία ενώ κάνεις εμπόριο.
CANNOT_EQUIP_IN_SHOP	Δεν μπορείς να αλλάξεις πανοπλία ενώ κάνεις εμπόριο.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Δεν μπορείς να ανοίξεις την ιδιωτική αποθήκη σε δημόσιο χώρο.
CANNOT_SHOOT_DEST_IN_SAFE	Ο εχθρός είναι πολύ μακριά.
CANNOT_SHOOT_EMPTY_ARROW	Χρειάζομαι ένα Βέλος.
CANNOT_SHOOT_SELF_IN_SAFE	Δε μπορώ να το κάνω αυτό.
CANNOT_SKILL_APPROACH	Δε μπορώ να πλησιάσω περισσότερο.
CANNOT_SKILL_ATTACK	Δε μπορώ να επιτεθώ.
CANNOT_SKILL_BLUE	Όταν είναι ενεργοποιημένη η Ψυχή Πορφυρόλυκου, δεν μπορείς να χρησιμοποιήσεις την Ψυχή Λουλακόλυκου.
CANNOT_SKILL_DEST_IN_SAFE	Ο εχθρός είναι πολύ μακριά.
CANNOT_SKILL_EQUIP_FISHING_ROD	Χρειάζομαι ένα Καλάμι.
CANNOT_SKILL_HAVE_TO_RIDE	Χρειάζομαι πρώτα ένα άλογο για να μπορέσω να το χρησιμοποιήσω αυτό.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Δεν έχω άδειο Μπουκάλι.
CANNOT_SKILL_NEED_POISON_BOTTLE	Δεν έχω Μπουκάλι Δηλητήριου.
CANNOT_SKILL_NEED_TARGET	Ποιος είναι ο στόχος;
CANNOT_SKILL_NOT_ENOUGH_HP	Δεν έχω αρκετή HP!
CANNOT_SKILL_NOT_ENOUGH_SP	Δεν έχω αρκετή SP!
CANNOT_SKILL_NOT_HORSE_SKILL	Δε μπορώ να το χρησιμοποιήσω ενώ ιππεύω.
