AFF_LOVE_POINT	Szerelem pont: %d%%
ALIGNMENT_NAME	Rang pontok:
ATTACK_ERROR_UNKNOWN	Ismeretlen Támadás Hiba: %s
CANNOT_ATTACK_DEST_IN_SAFE	Túl messze van az ellenség.
CANNOT_ATTACK_SELF_IN_SAFE	Nem tudok támadni.
CANNOT_EQUIP_IN_EXCHANGE	Nem válthatsz felszerelést, amíg kereskedsz.
CANNOT_EQUIP_IN_SHOP	Nem válthatsz felszerelést, amíg kereskedsz.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Nyilvános területen nem nyithatsz magán boltot.
CANNOT_SHOOT_DEST_IN_SAFE	Az ellenség túl messze van.
CANNOT_SHOOT_EMPTY_ARROW	Szükségem van egy nyílra.
CANNOT_SHOOT_SELF_IN_SAFE	Innen nem tudom megtámadni az ellenséget.
CANNOT_SKILL_APPROACH	Biztos vagyok benne, hogy nem tudok közelebb menni.
CANNOT_SKILL_ATTACK	Nem tudom megtámadni.
CANNOT_SKILL_DEST_IN_SAFE	Túl messze az ellenség.
CANNOT_SKILL_EQUIP_FISHING_ROD	Szükslgem van egy horgászbotra.
CANNOT_SKILL_HAVE_TO_RIDE	Szükségem van egy lóra, hogy fel tudjam használni.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Nincs üres üvegem.
CANNOT_SKILL_NEED_POISON_BOTTLE	Nincs méregtartóm.
CANNOT_SKILL_NEED_TARGET	Ki a célpont?
CANNOT_SKILL_NOT_ENOUGH_HP	Nincs elég TP-m!
CANNOT_SKILL_NOT_ENOUGH_SP	Nincs elég MP-m!
CANNOT_SKILL_NOT_HORSE_SKILL	Nem tudom használni, amíg lovagolok.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Ezt a készséget nem hasznosíthatom ezzel a fegyverrel.
CANNOT_SKILL_NOT_YET_LEARN	Nem tanultam ki ezt a készséget.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Csak csoporttagokra hat.
CANNOT_SKILL_ONLY_FOR_CORPSE	Csak halottakra hat.
CANNOT_SKILL_REMOVE_FISHING_ROD	Ezt a készséget nem tudom horgászbottal használni.
CANNOT_SKILL_SELF_IN_SAFE	Innen nem tudok támadni.
CANNOT_SKILL_USE_SELF	Saját magamon nem használhatom.
CANNOT_SKILL_WAIT_COOLTIME	Ezt a készséget még nem tudom bevetni.
CANNOT_USE	Ezt nem tudod használni.
CANNOT_WHISPER_DEST_REFUSE	%s letiltotta a súgást.	SA
CANNOT_WHISPER_NOT_LOGON	%s nem online.	SA
CANNOT_WHISPER_SELF_REFUSE	Nem tudsz senkinek súgni, ha a súgás teljesen le van tiltva.	SNA
CHANNEL	Csatorna
CHANNELING_CANNOT_LOGOUT	Nem léphetsz vissza a bejelentkezõ képernyõre.
CHANNEL_EMPTY_SERVER	Nem szerver
CHANNEL_NORMAL	Csatorna %d
CHANNEL_NOTIFY_FULL	Ez a csatorna telítve van! Válassz másikat.
CHANNEL_NOT_FIND_INFO	Nem találhatók információk a csatornán.
CHANNEL_PVP	Szabad párbaj
CHANNEL_SELECT_CHANNEL	Válassz csatornát
CHANNEL_SELECT_REGION	Számlakiállítás helyének választása
CHANNEL_SELECT_SERVER	Szerver választás
CHANNEL_TEST_SERVER	Szerver teszt
CHANNEL_TEST_SERVER_ADDR	Teszt %s:%d
CHAT_ALL	Minden
CHAT_BLOCK	Letilt
CHAT_GUILD	Céh
CHAT_INFORMATION	Infó
CHAT_INSULT_STRING	A mondat nem megengedett szavakat tartalmaz.
CHAT_LOG	Régi hírek mutatása [L]
CHAT_LOG_TITLE	Cset-log
CHAT_NORMAL	Normális
CHAT_NOTICE	Bejelentés
CHAT_PARTY	Csoport
CHAT_SEND_CHAT	Cset küldés
CHAT_SEND_MEMO	Súgás küldés [Shift+Enter]
CHAT_SHOUT	Hívás
CHAT_SHOUT_LIMIT	Csak 15 másodpercenként hívhatsz
CHAT_WHISPER	Súgni
CREATE_ERROR_GM_NAME	A karakter nevében nem használhatsz 'GM'-et.
CREATE_ERROR_INSULT_NAME	Ez a név nem megengedett.
CREATE_EXIST_SAME_NAME	Egy másik karakter viseli már ezt a nevet.
CREATE_FAILURE	Nem hozhatod létre a karaktert.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Add meg a nevet.
CREATE_PLUS_STAT	Még vannak szabad státusz pontok.
DAY	T
DO_YOU_BUY_ITEM1	Szeretnél %s-t vásárolni %s-ért?
DO_YOU_BUY_ITEM2	Szeretnél %s %s-t vásárolni %s-ért?
DO_YOU_DROP_MONEY	Szeretnél %d Yangot eldobni?
DO_YOU_SELL_ITEM1	Szeretnél %s-t %s-ért eladni?
DO_YOU_SELL_ITEM2	Szeretnél %s %s-t %s-ért eladni?
DRAGON_SOUL_CANNOT_REFINE	Ezt a Sárkánykövet nem lehet finomítani.
DRAGON_SOUL_CANNOT_REFINE_MORE	Ez a Sárkánykõ már elérte a legmagasabb szintet.
DRAGON_SOUL_EQUIP_WARNING1	Nehéz eltávolítani a Sárkánykövet, ha már egyszer csatolva lett.
DRAGON_SOUL_EQUIP_WARNING2	Még mindig folytatni szeretnéd?
DRAGON_SOUL_EXPIRED	Lejárt Sárkánykõ
DRAGON_SOUL_INVALID_DRAGON_SOUL	Itt a rossz Sárkánykõ.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Ez nem Sárkánykõ.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Ez nem a megfelelõ Sárkánykõ.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Nincs elegendõ anyagod a nemesítéshez.
DRAGON_SOUL_NOT_MATCHED_SLOT	A Sárkánykõ nem illik ebbe a foglalatba.
DRAGON_SOUL_STEP_LEVEL1	Tisztaság: matt,
DRAGON_SOUL_STEP_LEVEL2	Tisztaság: tiszta,
DRAGON_SOUL_STEP_LEVEL3	Tisztaság: hibátlan,
DRAGON_SOUL_STEP_LEVEL4	Tisztaság: ragyogó,
DRAGON_SOUL_STEP_LEVEL5	Tisztaság: kiváló,
DRAGON_SOUL_STRENGTH	Szint: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	A Sárkánykõ megsemmisülhet az eljárás során.
DRAGON_SOUL_UNEQUIP_WARNING2	Még mindig folytatni szeretnéd?
DRAGON_SOUL_UNMATCHED_SLOT	Az rossz foglalat.
DRAGON_SOUL_UNQUALIFIED	Még nem használhatsz Sárkánykõ-alkímiát.
DROP_ITEM_FAILURE_EQUIP_ITEM	Nem dobhatsz el egy felszerelt tárgyat.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Nem dobhatsz el tárgyat, amíg a magán boltot nyitva van.
DROP_MONEY_FAILURE_1000_OVER	Maximum 999 Yangot dobhatsz el.
EMOTION_ANGRY	Mérges
EMOTION_ATTRACTIVE	Csábítás
EMOTION_BANTER	Gúnyos
EMOTION_CHEERS_1	Ünnepel 1
EMOTION_CHEERS_2	Ünnepel 2
EMOTION_CHEERUP	Ünnepel
EMOTION_CHOOSE_ONE	Válassz célt
EMOTION_CLAP	Taps
EMOTION_CLAP_KISS	Csók
EMOTION_CONGRATULATION	Gratuláció
EMOTION_DANCE_1	Tánc 1
EMOTION_DANCE_2	Tánc 2
EMOTION_DANCE_3	Tánc 3
EMOTION_DANCE_4	Tánc 4
EMOTION_DANCE_5	Tánc 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_FORGIVE	Megbocsátás
EMOTION_FRENCH_KISS	Nyelves csók
EMOTION_JOY	Öröm
EMOTION_SAD	Szomorú
EMOTION_SHY	Visszutasítás
EMOTION_SLAP	Ütés
EMPIRE_A	Shinsoo birodalom
EMPIRE_B	Chunjo birodalom
EMPIRE_C	Jinno birodalom
EXCHANGE_CANNOT_GIVE	Ezzel a tárggyal nem lehet kereskedni.
EXCHANGE_CANT_EDIT_MONEY	Most nem változtathatod meg az összeget.
EXCHANGE_FAILURE_EQUIP_ITEM	Felszerelt tárgyakat nem cserélhetsz el.
EXCHANGE_MONEY	Összeg
EXCHANGE_TITLE	Kereskedés vele: %s
