ACCEPT	Megerősít
ATTACH_METIN_INFO	Használni akarod a Szellemkövet?
ATTACH_METIN_TITLE	Szellemkő használata
CANCEL	Megszakít
CHANGE_PASSWORD_CONFIRM	Új jelszót megerősít
CHANGE_PASSWORD_NEW	Új jelszó
CHANGE_PASSWORD_OLD	Régi jelszó
CHANGE_PASSWORD_TITLE	Jelszó változtatás
CHARACTER_ACTION	Akció
CHARACTER_EMOTICON	Érzelem
CHARACTER_MAIN	Karakter
CHARACTER_MUTUAL_ACTION	Interaktív akció
CHARACTER_NORMAL_ACTION	Normál akció
CHARACTER_QUEST	Küldetések
CHARACTER_SKILL	Képesség
CLOSE	Bezár
COSTUME_TITLE	Viseletek
COSTUME_WINDOW_TITLE	Viseletek
CREATE_ATT_GRADE	Erő
CREATE_CREATE	Létrehoz
CREATE_DEX_GRADE	ÜGY
CREATE_HP	VIT
CREATE_LAST_POINT	Pont
CREATE_MAN	Férfi
CREATE_NAME	Név
CREATE_NEXT	Tovább
CREATE_PREV	Vissza
CREATE_SEX	Neme
CREATE_SHAPE	Kinézet
CREATE_SP	INT
CREATE_STAT_RESET	Vissza
CREATE_WOMAN	Asszony
CUBE_INFO_TITLE	Finomítási kézikönyv
CUBE_REQUIRE_MATERIAL	Szükséges anyagok
CUBE_REQUIRE_MATERIAL_OR	vagy
CUBE_TITLE	Nemesítési ablak
DO_REFINE	Nemesít
DRAGONSOUL_ACTIVATE	Aktiválás
DRAGONSOUL_PAGE_BUTTON_1	Nyers
DRAGONSOUL_PAGE_BUTTON_2	Metszett
DRAGONSOUL_PAGE_BUTTON_3	Ritka
DRAGONSOUL_PAGE_BUTTON_4	Antik
DRAGONSOUL_PAGE_BUTTON_5	Legendás
DRAGONSOUL_REFINE_WINDOW_TITLE	Nemesítési ablak
DRAGONSOUL_TAP_TITLE_1	Sárkánygyémánt
DRAGONSOUL_TAP_TITLE_2	Sárkányrubin
DRAGONSOUL_TAP_TITLE_3	Sárkányjáde
DRAGONSOUL_TAP_TITLE_4	Sárkányzafír
DRAGONSOUL_TAP_TITLE_5	Sárkánygránát
DRAGONSOUL_TAP_TITLE_6	Sárkányónix
DRAGONSOUL_TITLE	Sárkánykő-alkímia
EMPIRE_EXIT	Bezár
EMPIRE_NEXT	Tovább
EMPIRE_PREV	Vissza
EMPIRE_SELECT	Választani
EXCHANGE_ACCEPT	Elfogad
EXCHANGE_TITLE	Kereskedés
GAMEOPTION_TITLE	Játék opciók
GAME_EXIT_OBSERVER	Megfigyelő módot befejezni
GAME_HELP	Segítség
GAME_QUEST	Feladat
GAME_SKILL_UP	Képesség fejlesztés
GAME_STAT_UP	Státusz emelés
GRADE	Osztály
GRADE_SELECT	Osztály
GUILD_BASENAME	Bázisnév
GUILD_BOARD_ID	Név
GUILD_BOARD_REFRESH	Aktualizálás (F5)
GUILD_BOARD_TEXT	Üzenet
GUILD_BUILDING_CATEGORY_TITLE	Építő darabok
GUILD_BUILDING_CHANGE	Cserélni
GUILD_BUILDING_DIRECTION	Irány
GUILD_BUILDING_GRADE	Rang
GUILD_BUILDING_INFO	Épület- és költséginformációk
GUILD_BUILDING_LIST_TITLE	Épület lista
GUILD_BUILDING_LOG	Tönk
GUILD_BUILDING_NAME	Épület név
GUILD_BUILDING_OPERATE	Kiszolgál
GUILD_BUILDING_PLY	Furnér
GUILD_BUILDING_POSITION	Fekvés
GUILD_BUILDING_PREVIEW	Előrejelzés
GUILD_BUILDING_PRICE	Ár
GUILD_BUILDING_REFRESH	Frissítés (F5)
GUILD_BUILDING_STONE	Kő
GUILD_BUILDING_TITLE	Céhház építés
GUILD_CRYSTAL	Kristály
GUILD_DEPOSIT	Fizetni
GUILD_DROP_RESOURCE1	itt
GUILD_DROP_RESOURCE2	Erőforrás eldobás
GUILD_GEM	Drágakő
GUILD_GRADE_CHANGE_GRADE_NAME	Új rang név
GUILD_GRADE_NUM	Nr.
GUILD_GRADE_PERMISSION_DELETE	Kirúg
GUILD_GRADE_PERMISSION_JOIN	Meghív
GUILD_GRADE_PERMISSION_NOTICE	Írás
GUILD_GRADE_PERMISSION_SKILL	Képz.
GUILD_GRADE_RANK	Rang
GUILD_GRADE_WRITE	Írni
GUILD_INFO	Céh információ
GUILD_INFO_CUR_EXP	Tapasztalat
GUILD_INFO_DECALRE_WAR	Hadat üzen
GUILD_INFO_ENEMY_GUILD	Ellenséges céh
GUILD_INFO_ENEMY_GUILD_EMPTY	Semennyi
GUILD_INFO_LEVEL	Céh-szint
