//num	type	x	y	ÇĄ˝ĂĹŘ˝şĆ®
//type : "OPC", "OPCPVP", "OPCPVPSELF", "NPC", "MONSTER", "WARP", "WAYPOINT"
//---------------------------------------------------------------------------------------------------
0	NPC	59600	55700	"ą«±â»óÁˇ ÁÖŔÎ"
1	NPC	59600	60500	"ąćľî±¸»óÁˇ ÁÖŔÎ"
2	NPC	67800	56500	"ŔâČ­»óÁˇ ÁÖŔÎ"
3	NPC	67400	60700	"Ľ­ĆňąÝÁˇ ÇŇľĆąöÁö"
4	NPC	63300	62200	"łëĆÄ"
5	WARP	40500	7300	"ŔÚľçÇö"
6	NPC	35400	32700	"ľîşÎ"
7	NPC	32500	40500	"ľîşÎ"
8	NPC	25100	87400	"ľîşÎ"
9	NPC	19500	93700	"ľîşÎ"
10	NPC	30400	118600	"ľîşÎ"
11	NPC	52500	114700	"ľîşÎ"
12	NPC	59100	116600	"ľîşÎ"
13	NPC	68000	37900	"ľîşÎ"
14	NPC	82100	29700	"ľîşÎ"
15	NPC	73100	65900	"ľîşÎ"
16	WARP	7600	60100	"łëŔÎ"
