//num	type	x	y	ÇĄ˝ĂĹŘ˝şĆ®
//type : "OPC", "OPCPVP", "OPCPVPSELF", "NPC", "MONSTER", "WARP", "WAYPOINT"
//---------------------------------------------------------------------------------------------------
0	NPC	67600	66200	"ą«±â»óÁˇ ÁÖŔÎ"
1	NPC	67600	61700	"ąćľî±¸»óÁˇ ÁÖŔÎ"
2	NPC	59000	68900	"ŔâČ­»óÁˇ ÁÖŔÎ"
3	NPC	60900	59600	"Ľ­ĆňąÝÁˇ ÇŇľĆąöÁö"
4	NPC	58800	63300	"łëĆÄ"
5	WARP	87600	112700	"şąÁ¤Çö"
6	NPC	67500	53900	"ľîşÎ"
7	NPC	74200	87900	"ľîşÎ"
8	NPC	20600	55200	"ľîşÎ"
9	NPC	21800	67900	"ľîşÎ"
10	NPC	22100	86500	"ľîşÎ"
11	NPC	23100	97600	"ľîşÎ"
12	NPC	23400	107700	"ľîşÎ"
13	WARP	90800	8700	"łëŔÎ"
