//num	type	x	y	ÇĄ˝ĂĹŘ˝şĆ®
//type : "OPC", "OPCPVP", "OPCPVPSELF", "NPC", "MONSTER", "WARP", "WAYPOINT"
//---------------------------------------------------------------------------------------------------
0	NPC	43000	60800	"ą«±â»óÁˇ ÁÖŔÎ"
1	NPC	40300	58500	"ąćľî±¸»óÁˇ ÁÖŔÎ"
2	NPC	38300	69300	"ŔâČ­»óÁˇ ÁÖŔÎ"
3	NPC	31500	56000	"Ľ­ĆňąÝÁˇ ÇŇľĆąöÁö"
4	NPC	41700	67100	"łëĆÄ"
5	WARP	13700	12600	"ąÚ¶óÇö"
6	NPC	71100	23400	"ľîşÎ"
7	NPC	73200	39000	"ľîşÎ"
8	NPC	77200	47200	"ľîşÎ"
9	NPC	76300	80900	"ľîşÎ"
10	NPC	77300	90500	"ľîşÎ"
11	NPC	42800	48000	"ľîşÎ"
12	NPC	38600	84900	"ľîşÎ"
13	NPC	81900	31500	"ľîşÎ"
14	WARP	12500	111800	"łëŔÎ"
