ACCEPT	Conferma
ATTACH_METIN_INFO	Vuoi utilizzare la Pietra Spirituale?
ATTACH_METIN_TITLE	Utilizza la Pietra Spirituale
CANCEL	Interrompi
CHANGE_PASSWORD_CONFIRM	Conferma nuova pass
CHANGE_PASSWORD_NEW	Nuova password
CHANGE_PASSWORD_OLD	Vecchia password
CHANGE_PASSWORD_TITLE	Modifica password
CHARACTER_ACTION	Azioni
CHARACTER_EMOTICON	Emozioni
CHARACTER_MAIN	Personaggio
CHARACTER_MUTUAL_ACTION	Azioni interattive
CHARACTER_NORMAL_ACTION	Azioni normali
CHARACTER_QUEST	Missioni
CHARACTER_SKILL	Abilità
CLOSE	Chiudi
COMB_APPEARANCE	Costume 1
COMB_ATTRIBUTE	Costume 2
COMB_SKILLBOOK_TILE	Scambia libri
COMB_TITLE	
COSTUME_TITLE	Costumi
COSTUME_WINDOW_TITLE	Costumi
CREATE_ATT_GRADE	STR
CREATE_CREATE	Imposta
CREATE_DEX_GRADE	DEX
CREATE_HP	VIT
CREATE_LAST_POINT	Punti
CREATE_MAN	Uomo
CREATE_NAME	Nome
CREATE_NEXT	Avanti
CREATE_PREV	Indietro
CREATE_SEX	Sesso
CREATE_SHAPE	Aspetto
CREATE_SP	INT
CREATE_STAT_RESET	Indietro
CREATE_WOMAN	Donna
CUBE_INFO_TITLE	Manuale della rifinitura
CUBE_REQUIRE_MATERIAL	Materiali necessari
CUBE_REQUIRE_MATERIAL_OR	oppure
CUBE_TITLE	Finestra del raffinamento
DO_REFINE	Raffinamento
DRAGONSOUL_ACTIVATE	Attiva
DRAGONSOUL_PAGE_BUTTON_1	Grezzo
DRAGONSOUL_PAGE_BUTTON_2	Tagliato
DRAGONSOUL_PAGE_BUTTON_3	Raro
DRAGONSOUL_PAGE_BUTTON_4	Antico
DRAGONSOUL_PAGE_BUTTON_5	Leggendario
DRAGONSOUL_REFINE_WINDOW_TITLE	Finestra del raffinamento
DRAGONSOUL_TAP_TITLE_1	Diamante del drago
