AFF_LOVE_POINT	Liefdespunten: %d%%	
ALIGNMENT_NAME	Rang punten:	
ATTACK_ERROR_UNKNOWN	Onbekend Aanvals Fout: %s	
CANNOT_ATTACK_DEST_IN_SAFE	De Tegenstander is te ver weg.
CANNOT_ATTACK_SELF_IN_SAFE	Ik kan niet aanvallen.	
CANNOT_EQUIP_IN_EXCHANGE	Je kunt wat je draagt niet veranderen wanneer je aan het handelen bent.
CANNOT_EQUIP_IN_SHOP	Je kunt wat je draagt niet veranderen wanneer je aan het handelen bent.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Je kunt geen privé warenhuis openen in een openbaar gebied.
CANNOT_SHOOT_DEST_IN_SAFE	De vijand is te ver weg.	
CANNOT_SHOOT_EMPTY_ARROW	Ik heb een Pijl nodig.	
CANNOT_SHOOT_SELF_IN_SAFE	Ik kan dit niet doen.	
CANNOT_SKILL_APPROACH	Ik weet zeker dat ik niet dichterbij kan komen.	
CANNOT_SKILL_ATTACK	Ik kan niet aanvallen.	
CANNOT_SKILL_BLUE	Je kunt Indigo Wolf Ziel niet gebruiken wanneer Bloedrode Wolf Ziel actief is.
CANNOT_SKILL_DEST_IN_SAFE	De vijand is te ver weg.	
CANNOT_SKILL_EQUIP_FISHING_ROD	Ik heb een Hengel nodig.
CANNOT_SKILL_HAVE_TO_RIDE	Ik heb eerst een Paard nodig voordat ik dit kan gebruiken.	
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Ik heb geen Lege Fles.	
CANNOT_SKILL_NEED_POISON_BOTTLE	Ik heb geen Gif Fles.	
CANNOT_SKILL_NEED_TARGET	Wie is het doelwit?	
CANNOT_SKILL_NOT_ENOUGH_HP	Ik heb niet genoeg LP!	
CANNOT_SKILL_NOT_ENOUGH_SP	Ik heb niet genoeg TP!	
CANNOT_SKILL_NOT_HORSE_SKILL	Ik kan dit niet gebruiken tijdens het rijden.	
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Ik kan deze Vaardigheid niet met dit wapen gebruiken.	
CANNOT_SKILL_NOT_YET_LEARN	Ik heb deze Vaardigheid nog niet geleerd.	
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Dit beïnvloedt alleen groepsleden.	
CANNOT_SKILL_ONLY_FOR_CORPSE	Dit beïnvloedt alleen dode mensen.	
CANNOT_SKILL_RED	Je kunt Bloedrode Wolf Ziel niet gebruiken wanneer Indigo Wolf Ziel actief is.
CANNOT_SKILL_REMOVE_FISHING_ROD	Ik kan deze Vaardigheid niet met een Hengel gebruiken.
CANNOT_SKILL_SELF_IN_SAFE	Ik kan vanaf hier niet aanvallen.	
CANNOT_SKILL_USE_SELF	Ik kan dit niet op mijzelf gebruiken.	
CANNOT_SKILL_WAIT_COOLTIME	Ik kan deze Vaardigheid nog niet gebruiken.	
CANNOT_USE	Je kan dit niet gebruiken.
CANNOT_WHISPER_DEST_REFUSE	%s blokkeert fluisteren compleet.	SA
CANNOT_WHISPER_NOT_LOGON	%s is niet online.	SA
CANNOT_WHISPER_SELF_REFUSE	Je kunt niet naar iemand fluisteren wanneer je het fluisteren geblokkeerd hebt.	SNA
CHANNEL	Kanaal	
CHANNELING_CANNOT_LOGOUT	Je kunt niet terug gaan naar het login scherm.	
CHANNEL_EMPTY_SERVER	Geen server	
CHANNEL_NORMAL	Kanaal %d	
CHANNEL_NOTIFY_FULL	Dit kanaal is vol! Kies een andere alstublieft.
CHANNEL_NOT_FIND_INFO	Geen informatie gevonden via het kanaal.	
CHANNEL_PVP	Vrije duel	
CHANNEL_SELECT_CHANNEL	Kies een kanaal	
CHANNEL_SELECT_REGION	Kies een regio.	
CHANNEL_SELECT_SERVER	Kies een server	
CHANNEL_TEST_SERVER	Test Server	
CHANNEL_TEST_SERVER_ADDR	Test %s:%d	
CHARACTER_CREATE_MODE	Karakter aanmaken
CHARACTER_SELECT_MODE	Karakter selecteren
CHAT_ALL	Alles	
CHAT_BLOCK	Blokkeren	
CHAT_GUILD	Gilde	
CHAT_INFORMATION	Info	
CHAT_INSULT_STRING	Deze zin bevat ongeldige woorden.	
CHAT_LOG	Laat oude berichten zien [L]	
CHAT_LOG_TITLE	Chat-log	
CHAT_NORMAL	Normaal	
CHAT_NOTICE	Aankondiging	
CHAT_PARTY	Groep	
CHAT_SEND_CHAT	Stuur Chat	
CHAT_SEND_MEMO	Stuur Fluister[Shift+Enter]	
CHAT_SHOUT	Roep	
CHAT_SHOUT_LIMIT	Je kunt slechts elke 15 seconden roepen.	
CHAT_WHISPER	Fluisteren	
COMB_ALREADY_APPEND	
COMB_CANT_APPEND_ITEM	Dit item kan niet gebruikt worden.
COMB_CANT_APPEND_SEALED_ITEM	Je kunt geen zielsgebonden items gebruiken.
COMB_COST	Prijs: %s
COMB_IS_CONTINUE_PROCESS	Wil je doorgaan?
COMB_NOTICE	Je kunt geen privé warenhuis openen wanneer je boeken aan het verhandelen bent.
COMB_NOTICE_NOT_OPEN	Je kunt geen boeken verhandelen als je een privé warenhuis open hebt staan.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Je hebt een tweede kostuum nodig om bonussen over te dragen.
COMB_NOT_FULL_BOOK	Nee, zo doen we geen zaken. Zoals ik al zei: ik sta alleen open om te handelen als je 10 boeken in te ruilen hebt.
COMB_NOT_ITEM_IN_INVENTORY	Je kunt geen items gebruiken die je aan hebt.
COMB_NOT_MEDIUM_ITEM	Dit item kan niet gebruikt worden.
COMB_WILL_REMOVE_MATERIAL	Kostuum 2 zal vernietigd worden.
CREATE_ERROR_GM_NAME	Het is niet toegestaan om ,GM‘ in je karakter naam te gebruiken.	
CREATE_ERROR_INSULT_NAME	Deze naam is ongeldig.	
CREATE_ERROR_LIMIT_LEVEL	Jouw karakter moet minstens level 80 zijn.
CREATE_ERROR_TIME_LIMIT	Je kunt slechts één karakter per 30 seconden aanmaken.
CREATE_ERROR_WRONG_STRING	Je karakternaam mag geen speciale tekens bevatten.
CREATE_EXIST_SAME_NAME	Een ander karakter gebruikt deze naam.	
